gene,Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ACE2,N43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACHE,N44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO1,N45,0.0,0.0,0.0,0.0,0.0,2.8772533e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL5,N46,1.1622553e-05,0.0,0.0,-1.986693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.596492e-06,0.0,0.0,0.0,-1.8488128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL6,N47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM1,N48,0.0,0.0,9.392922e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.084914e-06,0.0,5.699706e-06,0.0,0.0,0.0,0.0
ACSM2A,N49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM2B,N50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7201637e-05,0.001526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM4,N51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013817931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM5,N52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3541658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSS3,N53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0044686515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,N54,0.0,0.0,0.0,-3.2911918e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0937885e-05,0.0,0.0,0.0,-2.9826506e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.3536366e-05
ACTB,N55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027032814,-0.0001419023,0.0,0.0,0.0,0.0,-0.00026235063,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002215891,-5.9037593e-05,0.0,0.0,0.0
ACTL6B,N56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTN2,N57,0.0,0.0,0.0,0.0,2.9369832e-05,0.0,0.0,0.0,1.4607787e-05,0.0,0.0,1.3938396e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6094464e-05,0.0,0.0,0.0,0.0,1.48631225e-05,0.0
ACTR1A,N58,0.0,0.0,0.0,4.1476305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.716349e-05,0.0,0.0,0.0,2.0661777e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.5387795e-05
ACTR3B,N59,3.3753586e-06,0.0,-8.772911e-06,0.0,0.0,0.0,0.0,-9.910398e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1818923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM10,N60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAR,N61,0.0,0.0,0.0,0.0,0.00028361208,0.0,0.0,0.0,0.00013754204,0.0,0.0,6.259217e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.8235694e-05,0.00022402534,0.0,0.0,0.0,0.00010962265,0.0
ADCY1,N62,0.0,0.0,0.0,-0.011926529,0.0,0.0,0.0,-0.2386845,0.0,0.0,0.0,0.0,0.0,-0.011647107,0.0,0.0,0.0,0.0,0.0,0.0,-0.015175596,0.0,0.0,0.0,0.0
ADCY10,N63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038919328,0.0,0.0,0.0,0.0
ADCY2,N64,0.0,0.0,0.0,0.0,0.0,0.004892992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004709509,0.0,0.0061784955,0.0,0.0,0.0012862814,0.0,0.0,0.0
ADCY5,N65,0.003800985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019470531,0.0,0.0,0.0,0.0,0.0,0.0,0.008071181,0.0,0.0,0.0,0.0,0.0,0.0
ADCY8,N66,0.0,0.0,0.0,0.0,0.0,-0.0015757644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025954444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1R1,N67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH1A,N68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH1B,N69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029839594,0.0,0.0
ADH6,N70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040822718,0.0,0.0,0.0,0.0,0.004551893,0.0,0.0,0.0,0.0,0.0
ADIPOR1,N71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5473385e-05,0.0,0.0,0.0,0.0,-0.0001957393,0.0
ADK,N72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA1,N73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA1A,N74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002682855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2A,N75,8.439789e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1455774e-07,0.0,0.0,0.0,0.0008293957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,N76,-2.9181683e-05,0.0,0.0,-1.3275992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.331856e-05,0.0,0.0,0.0,-1.4857822e-05,0.0,0.0,0.0,0.0,0.0,-2.7741273e-05,-1.0792623e-05
ADRB3,N77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.280521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001197583
ADSL,N78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,N79,-4.9285677e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGL,N80,0.0,-0.00026713512,0.0,-0.00017621348,-0.00037083647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT2,N81,0.0,0.0,0.0,-0.00022387496,-0.00031918837,-0.00013403746,-0.00018379366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018733088,0.0,0.0,-0.00033622555,0.0,0.0,0.0,-0.00031223719
AGPAT4,N82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRP,N83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGT,N84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008397142,0.0,0.0,0.0004826901,0.0,0.00065318844,0.0
AGTR1,N85,0.0,0.0010417204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047589288
AGXT2,N86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015585692,0.0,0.0
AHCTF1,N87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHNAK,N88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5547665e-05,0.0,0.0,0.0,0.0
AHNAK2,N89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHR,N90,0.0,0.0,0.0,1.4781537e-05,0.0,0.0,0.0,2.0176563e-05,5.7360076e-06,0.0,0.0,0.0,0.0,1.9070136e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7052964e-05,0.0,0.0,0.0,0.0
AIM2,N91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIPL1,N92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK1,N93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK3,N94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK9,N95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP13,N96,0.0,-1.8186689e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1B1,N97,0.0,0.0,0.0093300985,0.0,0.0,0.0,0.0,0.0020838296,0.0,0.0,0.0,0.0,1.33328285e-05,0.00011898976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9121143e-05
AKR1B10,N98,0.0,0.0,-0.0051345285,0.0,0.0,0.0,0.0,-0.001146771,0.0,0.0,0.0,0.0,1.5623442e-06,6.264056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040172716
AKR1C1,N99,0.0,0.0,0.0,9.6382275e-05,0.0,7.33319e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.156692e-05,0.0,0.0,0.0,4.3464854e-05,0.0,0.0,6.992748e-05,0.0,0.0,0.0,0.00032294064
AKR1C2,N100,0.0,0.0,0.0,-1.6123114e-06,0.0,-1.4312399e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5087578e-06,0.0,0.0,0.0,-5.1757803e-07,0.0,0.0,-8.2937277e-07,0.0,0.0,0.0,-2.0269035e-06
AKR1C3,N101,0.0,0.0,0.0,4.4406057e-05,0.0,-2.7662209e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4307424e-05,0.0,0.0,0.0,-6.3451094e-05,0.0,0.0,1.6955506e-05,0.0,0.0,0.0,6.7883804e-05
AKR1C4,N102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1D1,N103,0.0,0.0,0.0007448859,0.0,0.0,0.0,0.0,0.00018269719,0.0,0.0,0.0,0.0,1.4384466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT3,N104,0.0,0.0,0.0,0.0,0.0,0.0010850951,0.00131107,0.0,0.0,0.0,0.0,0.0,0.0,0.0012444087,0.0,0.0,0.0,0.0,0.001138014,0.0,0.0,0.0005065833,0.0,0.0011521431,0.0
ALAD,N105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,N106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH18A1,N107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A1,N108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5311186e-05
ALDH1A2,N109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00060525816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A3,N110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1B1,N111,0.0,0.0,0.0,5.5277324e-05,0.0012184209,7.877119e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045091784,0.0,0.0,0.00018603333,0.0,0.0,0.0,0.0008610938
