pathc,Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
hsa00100,N10,4.274004e-05,0.0,0.0,0.00013159776,0.0004266407,3.4805296e-05,5.981392e-05,0.0,0.0,0.0,0.0,4.6571175e-05,0.0,0.00012558498,0.0,0.0,0.0,3.7425074e-05,4.5949342e-05,0.0,2.97792e-05,0.0,0.0,4.1021514e-05,0.00011757233
hsa00120,N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00130,N12,0.0,0.0,0.0030231094,0.0,0.0,0.0,0.0,0.00086954626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089114887,0.0,0.0,9.255101e-05,0.0,0.0,0.0,0.0
hsa00140,N13,1.0602376e-05,1.8474393e-05,0.005866112,4.3865675e-05,0.0,3.586753e-05,0.0,0.00018269732,0.0,1.5030855e-06,1.2581337e-06,2.6124908e-08,1.4384469e-05,4.472079e-05,0.0,0.0,0.0,1.2338486e-05,0.0,2.4119501e-05,1.0057831e-05,0.0,0.00045138327,0.0,2.496563e-05
hsa00190,N14,0.0,0.0004936665,0.0,0.0006772292,0.0040545827,7.564998e-05,0.00024098491,0.0,0.0,0.0,0.014915073,0.0003641683,0.0,0.0,0.0,0.0,0.0,0.0018326764,0.00085694663,0.0,0.0011064048,0.0,0.0,0.0,0.0013743114
hsa00220,N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5101016e-05
hsa00230,N16,0.0003827885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0592073e-05,0.0,0.0,0.0,0.00041254176,0.0,0.0,0.0,0.0009389172,0.0,0.0,0.0,0.0
hsa00232,N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008082946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00240,N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00250,N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.991678e-05
hsa00260,N20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.590703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00270,N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015585695,0.0,0.0
hsa00280,N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00290,N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
